------------------------------
ID: 20347018_2217918
Report type: position_tracking_rankings_overview
Period: 20240828 - 20260309
------------------------------

Keyword,*.attackacrack.com/*_20260309,*.attackacrack.com/*_20260309_visibility,*.attackacrack.com/*_20260309_type,*.attackacrack.com/*_20260309_landing,*.attackacrack.com/*_difference,*.attackacrack.com/*_visibility_difference,*.a1foundationcrackrepair.com/*_20260309,*.a1foundationcrackrepair.com/*_20260309_visibility,*.a1foundationcrackrepair.com/*_20260309_type,*.a1foundationcrackrepair.com/*_20260309_landing,*.a1foundationcrackrepair.com/*_difference,*.a1foundationcrackrepair.com/*_visibility_difference,*.crackx.com/*_20260309,*.crackx.com/*_20260309_visibility,*.crackx.com/*_20260309_type,*.crackx.com/*_20260309_landing,*.crackx.com/*_difference,*.crackx.com/*_visibility_difference,*.groundworks.com/*_20260309,*.groundworks.com/*_20260309_visibility,*.groundworks.com/*_20260309_type,*.groundworks.com/*_20260309_landing,*.groundworks.com/*_difference,*.groundworks.com/*_visibility_difference,Tags,Intents,CPC,Search Volume,Keyword Difficulty
crack repair services,1,0.42735,local,,99,0.42735,9,0.03522,organic,https://www.a1foundationcrackrepair.com/,91,0.03522,13,0.01644,organic,https://crackx.com/natick-massachusetts/,87,0.01644,-,0.00000,,,-,0.00000,,c,n/a,n/a,15
cracks near me,1,0.42735,local,,99,0.42735,11,0.02348,organic,https://www.a1foundationcrackrepair.com/,89,0.02348,15,0.01468,organic,https://crackx.com/foundation-crack-repair-in-waltham/,85,0.01468,8,0.04109,organic,https://www.groundworks.com/service-areas/boston-ma-foundation-repair/,92,0.04109,,t,n/a,10,22
crumbling foundations massachusetts,1,0.42735,ai overview,https://www.attackacrack.com/blog/crumbling-foundations-in-massachusetts-and-connecticut,99,0.42735,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,25
fix basement crack,1,0.42735,local,,67,0.42348,10,0.02583,organic,https://www.a1foundationcrackrepair.com/,11,0.01409,64,0.00434,organic,https://crackx.com/connecticut/,-23,-0.00270,-,0.00000,,,-81,-0.01291,tracking,i,10.00,10,31
foundation crack injection services,1,0.42735,local,,99,0.42735,7,0.04461,organic,https://www.a1foundationcrackrepair.com/,93,0.04461,10,0.02583,organic,https://crackx.com/natick-massachusetts/,90,0.02583,-,0.00000,,,-,0.00000,,c,n/a,n/a,7
foundation crack repair,1,0.42735,local,,71,0.42395,23,0.01127,organic,https://www.a1foundationcrackrepair.com/,0,0.00000,31,0.00939,organic,https://crackx.com/natick-massachusetts/,-9,-0.00211,4,0.09275,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,23,0.08242,tracking,i,n/a,n/a,21
foundation crack repairs,1,0.42735,local,,99,0.42735,7,0.04461,organic,https://www.a1foundationcrackrepair.com/,93,0.04461,22,0.01151,organic,https://crackx.com/natick-massachusetts/,78,0.01151,59,0.00493,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,41,0.00493,,c,n/a,n/a,17
massachusetts crumbling foundations,1,0.42735,ai overview,https://www.attackacrack.com/blog/crumbling-foundations-in-massachusetts-and-connecticut,99,0.42735,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,21
pyrrhotite foundation massachusetts towns,1,0.42735,ai overview,https://www.attackacrack.com/blog/crumbling-foundations-in-massachusetts-and-connecticut,99,0.42735,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,17
water leaking through bulkhead,1,0.42735,ai overview,https://www.attackacrack.com/blog/why-your-bulkhead-door-might-be-leaking-and-how-to-fix-it-for-good,99,0.42735,1,0.42735,ai overview,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,99,0.42735,1,0.42735,ai overview,https://crackx.com/bulkhead-waterproofing/,99,0.42735,-,0.00000,,,-,0.00000,,i,n/a,n/a,8
cement foundation repair,2,0.14675,local,,98,0.14675,22,0.01151,organic,https://www.a1foundationcrackrepair.com/,78,0.01151,-,0.00000,,,-,0.00000,87,0.00164,organic,https://www.groundworks.com/,13,0.00164,,c,n/a,10,36
concrete foundation crack repair,2,0.14675,local,,98,0.14675,36,0.00822,organic,https://www.a1foundationcrackrepair.com/,64,0.00822,-,0.00000,,,-,0.00000,95,0.00070,organic,https://www.groundworks.com/,5,0.00070,,i,n/a,10,31
concrete repair near me,2,0.14675,local,,98,0.14675,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,91,0.00117,organic,https://www.groundworks.com/,9,0.00117,,t,n/a,30,37
concrete stair repair,2,0.14675,local,,98,0.14675,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,tracking,c,9.50,10,37
crack foundation repair,2,0.14675,local,,98,0.14675,5,0.07162,organic,https://www.a1foundationcrackrepair.com/,95,0.07162,60,0.00481,organic,https://crackx.com/natick-massachusetts/,40,0.00481,1,0.42735,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,99,0.42735,,c,12.48,50,23
crack repair concrete,2,0.14675,local,,98,0.14675,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,n/a,40
crack repair foundation,2,0.14675,local,,98,0.14675,7,0.04461,organic,https://www.a1foundationcrackrepair.com/,93,0.04461,-,0.00000,,,-,0.00000,15,0.01468,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,85,0.01468,tracking,i,12.48,50,21
cracked foundation repair,2,0.14675,local,,98,0.14675,8,0.04109,organic,https://www.a1foundationcrackrepair.com/,92,0.04109,50,0.00599,organic,https://crackx.com/natick-massachusetts/,50,0.00599,17,0.01362,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,83,0.01362,,i,n/a,n/a,35
cracked foundation repairs,2,0.14675,local,,98,0.14675,6,0.04814,organic,https://www.a1foundationcrackrepair.com/,94,0.04814,40,0.00728,organic,https://crackx.com/natick-massachusetts/,60,0.00728,1,0.42735,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,99,0.42735,,i,n/a,n/a,47
cracks in foundation repair,2,0.14675,local,,98,0.14675,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,99,0.42735,,i,n/a,n/a,47
epoxy foundation repair,2,0.14675,local,,98,0.14675,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,c,n/a,10,16
foundation crack fix,2,0.14675,local,,98,0.14675,22,0.01151,organic,https://www.a1foundationcrackrepair.com/,78,0.01151,63,0.00446,organic,https://crackx.com/maine/,37,0.00446,1,0.42735,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,99,0.42735,,i,12.48,50,30
foundation cracks repair,2,0.14675,local,,98,0.14675,-,0.00000,,,-,0.00000,22,0.01151,organic,https://crackx.com/foundation-wall-crack-repair/,78,0.01151,1,0.42735,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,99,0.42735,,i,n/a,n/a,40
foundation repair cracks,2,0.14675,local,,98,0.14675,51,0.00587,organic,https://www.a1foundationcrackrepair.com/,49,0.00587,64,0.00434,organic,https://crackx.com/merrimack-valley-massachusetts/foundation-crack-repair/,36,0.00434,48,0.00622,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,52,0.00622,,i,n/a,n/a,29
leaky basement crack,2,0.14675,local,,98,0.14675,76,0.00294,organic,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,-11,-0.00129,100,0.00012,organic,https://crackx.com/maine/,0,0.00012,66,0.00411,organic,https://www.groundworks.com/resources/how-to-stop-basement-wall-leaks-in-their-tracks/,-53,-0.01233,tracking,c,n/a,n/a,29
repair cracked foundation,2,0.14675,local,,98,0.14675,24,0.01104,organic,https://www.a1foundationcrackrepair.com/,76,0.01104,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,99,0.42735,,i,n/a,n/a,27
repair foundation crack,2,0.14675,local,,98,0.14675,9,0.03522,organic,https://www.a1foundationcrackrepair.com/,91,0.03522,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,99,0.42735,,i,n/a,n/a,29
repair foundation cracks,2,0.14675,local,,98,0.14675,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,52,0.00575,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,48,0.00575,,i,n/a,n/a,26
basement crack,3,0.11153,local,,97,0.11153,45,0.00657,organic,https://www.a1foundationcrackrepair.com/,55,0.00657,27,0.01033,organic,https://crackx.com/natick-massachusetts/,73,0.01033,26,0.01057,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,74,0.01057,,i,n/a,10,19
basement crack repair companies,3,0.11153,local,,97,0.11153,9,0.03522,organic,https://www.a1foundationcrackrepair.com/,91,0.03522,11,0.02348,organic,https://crackx.com/natick-massachusetts/,89,0.02348,27,0.01033,organic,https://www.groundworks.com/service-areas/massachusetts/boston-ma/,73,0.01033,tracking,c,n/a,10,10
basement foundation crack,3,0.11153,local,,97,0.11153,24,0.01104,organic,https://www.a1foundationcrackrepair.com/,76,0.01104,45,0.00657,organic,https://crackx.com/natick-massachusetts/,55,0.00657,1,0.42735,ai overview,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,99,0.42735,,i,n/a,10,14
basement wall crack repair,3,0.11153,local,,97,0.11153,-,0.00000,,,-,0.00000,53,0.00564,organic,https://crackx.com/maine/,47,0.00564,94,0.00082,organic,https://www.groundworks.com/,6,0.00082,,i,n/a,10,21
crack foundation,3,0.11153,local,,97,0.11153,31,0.00939,organic,https://www.a1foundationcrackrepair.com/,69,0.00939,28,0.01010,organic,https://crackx.com/natick-massachusetts/,72,0.01010,9,0.03522,site links,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,91,0.03522,,i,9.53,30,20
crack in foundation repair,3,0.11153,local,,97,0.11153,23,0.01127,organic,https://www.a1foundationcrackrepair.com/,77,0.01127,-,0.00000,,,-,0.00000,53,0.00564,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,47,0.00564,tracking,i,12.48,50,33
foundation concrete repair,3,0.11153,local,,97,0.11153,29,0.00986,organic,https://www.a1foundationcrackrepair.com/,71,0.00986,-,0.00000,,,-,0.00000,102,0.00012,organic,https://www.groundworks.com/,-2,0.00012,,i,n/a,10,33
repair crack foundation,3,0.11153,local,,97,0.11153,45,0.00657,organic,https://www.a1foundationcrackrepair.com/,55,0.00657,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,n/a,34
crack basement wall repair,4,0.09275,local,,96,0.09275,25,0.01080,organic,https://www.a1foundationcrackrepair.com/,75,0.01080,66,0.00411,organic,https://crackx.com/connecticut/,34,0.00411,101,0.00012,organic,https://www.groundworks.com/resources/repairing-concrete-foundation-wall-cracks-the-right-way/,-1,0.00012,,i,n/a,n/a,20
foundation crack,4,0.09275,local,,96,0.09275,6,0.04814,organic,https://www.a1foundationcrackrepair.com/,94,0.04814,25,0.01080,organic,https://crackx.com/natick-massachusetts/,75,0.01080,14,0.01526,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,86,0.01526,,i,n/a,n/a,20
leaky bulkhead,4,0.09275,organic,https://www.attackacrack.com/blog/why-your-bulkhead-door-might-be-leaking-and-how-to-fix-it-for-good,3,0.04814,12,0.01761,reviews,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,3,0.00294,1,0.42735,ai overview,https://crackx.com/repair-a-leaking-bulkhead/,0,0.00000,74,0.00317,organic,https://www.groundworks.com/resources/bulkhead-and-cellar-door-replacement-in-northeast-new-england/,26,0.00317,tracking,i|c,n/a,10,10
cracked basement wall repair,5,0.07162,local,,95,0.07162,34,0.00869,organic,https://www.a1foundationcrackrepair.com/,66,0.00869,-,0.00000,,,-,0.00000,83,0.00211,organic,https://www.groundworks.com/resources/repairing-concrete-foundation-wall-cracks-the-right-way/,17,0.00211,,i,n/a,n/a,15
fixing a cracked foundation,5,0.07162,organic,https://www.attackacrack.com/,95,0.07162,31,0.00939,organic,https://www.a1foundationcrackrepair.com/,69,0.00939,57,0.00517,organic,https://crackx.com/fix-cracks-in-a-foundation-wall/,43,0.00517,25,0.01080,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,75,0.01080,,i,n/a,n/a,41
basement wall crack,6,0.04814,local,,94,0.04814,-,0.00000,,,-,0.00000,63,0.00446,organic,https://crackx.com/maine/,37,0.00446,68,0.00387,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,32,0.00387,,i,n/a,10,15
repair concrete foundation cracks,6,0.04814,local,,94,0.04814,-,0.00000,,,-,0.00000,114,0.00012,organic,https://crackx.com/fix-cracks-in-a-foundation-wall/,-14,0.00012,77,0.00282,organic,https://www.groundworks.com/resources/benefits-of-repairing-foundation-cracks/,23,0.00282,,i,n/a,10,12
repair crack in foundation,6,0.04814,organic,https://www.attackacrack.com/,94,0.04814,30,0.00963,organic,https://www.a1foundationcrackrepair.com/,70,0.00963,-,0.00000,,,-,0.00000,42,0.00693,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,58,0.00693,,i,n/a,n/a,32
fix foundation crack,7,0.04461,organic,https://www.attackacrack.com/,93,0.04461,26,0.01057,organic,https://www.a1foundationcrackrepair.com/,74,0.01057,-,0.00000,,,-,0.00000,39,0.00751,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,61,0.00751,,i,n/a,n/a,35
repairing crack in foundation,7,0.04461,organic,https://www.attackacrack.com/,93,0.04461,31,0.00939,organic,https://www.a1foundationcrackrepair.com/,69,0.00939,73,0.00329,organic,https://crackx.com/fix-cracks-in-a-foundation-wall/,27,0.00329,1,0.42735,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,99,0.42735,,i,n/a,n/a,33
basement concrete crack,8,0.04109,local,,92,0.04109,-,0.00000,,,-,0.00000,77,0.00282,organic,https://crackx.com/basement-floor-cracks/,23,0.00282,1,0.42735,ai overview,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,99,0.42735,,i,n/a,10,28
foundation cracked repair,8,0.04109,organic,https://www.attackacrack.com/,92,0.04109,5,0.07162,organic,https://www.a1foundationcrackrepair.com/,95,0.07162,61,0.00470,organic,https://crackx.com/natick-massachusetts/,39,0.00470,1,0.42735,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,99,0.42735,,i,n/a,n/a,29
foundation repair cost,8,0.04109,local,,92,0.04109,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,20,0.01233,organic,https://www.groundworks.com/resources/how-much-does-foundation-repair-cost/,80,0.01233,tracking,i,7.78,40,25
patching foundation cracks,8,0.04109,local,,92,0.04109,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,47,0.00634,organic,https://www.groundworks.com/resources/benefits-of-repairing-foundation-cracks/,53,0.00634,,i,n/a,10,26
foundation crack repair services near me,9,0.03522,organic,https://www.attackacrack.com/massachusetts,91,0.03522,10,0.02583,organic,https://www.a1foundationcrackrepair.com/,90,0.02583,14,0.01526,organic,https://crackx.com/natick-massachusetts/,86,0.01526,23,0.01127,organic,https://www.groundworks.com/service-areas/boston-ma-foundation-repair/,77,0.01127,,t,n/a,10,35
sealing a bulkhead door,9,0.03522,organic,https://www.attackacrack.com/blog/why-your-bulkhead-door-might-be-leaking-and-how-to-fix-it-for-good,91,0.03522,19,0.01291,reviews,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/sealing-your-basement-bulkhead-dont-do-it-yourself-boston-ma,81,0.01291,1,0.42735,ai overview,https://crackx.com/a-step-by-step-guide-to-bulkhead-waterproofing/,99,0.42735,37,0.00798,organic,https://www.groundworks.com/resources/bulkhead-and-cellar-door-replacement-in-northeast-new-england/,63,0.00798,,i,n/a,10,16
basement foundation crack repair,10,0.02583,organic,https://www.attackacrack.com/,90,0.02583,7,0.04461,organic,https://www.a1foundationcrackrepair.com/,93,0.04461,36,0.00822,organic,https://crackx.com/natick-massachusetts/,64,0.00822,-,0.00000,,,-,0.00000,,i,n/a,10,31
basement wall crack repair near me,10,0.02583,organic,https://www.attackacrack.com/massachusetts,90,0.02583,13,0.01644,organic,https://www.a1foundationcrackrepair.com/,87,0.01644,16,0.01409,organic,https://crackx.com/natick-massachusetts/,84,0.01409,5,0.07162,organic,https://www.groundworks.com/service-areas/boston-ma-basement-waterproofing/,95,0.07162,,t,n/a,10,14
foundation crack repair near me,10,0.02583,organic,https://www.attackacrack.com/massachusetts,90,0.02583,8,0.04109,organic,https://www.a1foundationcrackrepair.com/,92,0.04109,14,0.01526,organic,https://crackx.com/natick-massachusetts/,86,0.01526,7,0.04461,organic,https://www.groundworks.com/service-areas/massachusetts/boston-ma/,93,0.04461,tracking,t,12.88,10,11
cracked wall repair near me,11,0.02348,organic,https://www.attackacrack.com/massachusetts,89,0.02348,22,0.01151,organic,https://www.a1foundationcrackrepair.com/,78,0.01151,27,0.01033,organic,https://crackx.com/natick-massachusetts/,73,0.01033,42,0.00693,organic,https://www.groundworks.com/service-areas/boston-ma-foundation-repair/,58,0.00693,,t,n/a,10,13
foundation crack repair companies,11,0.02348,site links,https://www.attackacrack.com/,89,0.02348,8,0.04109,organic,https://www.a1foundationcrackrepair.com/,92,0.04109,12,0.01761,organic,https://crackx.com/foundation-crack-repair-in-malden/,88,0.01761,25,0.01080,organic,https://www.groundworks.com/service-areas/massachusetts/boston-ma/,75,0.01080,tracking,c,n/a,10,31
repairing foundation cracks,11,0.02348,local,,89,0.02348,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,43,0.00681,organic,https://www.groundworks.com/resources/benefits-of-repairing-foundation-cracks/,57,0.00681,,i,n/a,n/a,27
wall crack repair near me,11,0.02348,organic,https://www.attackacrack.com/massachusetts,89,0.02348,23,0.01127,reviews,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,77,0.01127,17,0.01362,organic,https://crackx.com/natick-massachusetts/,83,0.01362,32,0.00916,organic,https://www.groundworks.com/service-areas/massachusetts/boston-ma/,68,0.00916,,t,n/a,10,24
basement crack repair near me,12,0.01761,organic,https://www.attackacrack.com/massachusetts,88,0.01761,30,0.00963,organic,https://www.a1foundationcrackrepair.com/,70,0.00963,23,0.01127,organic,https://crackx.com/foundation-crack-repair-in-waltham/,77,0.01127,8,0.04109,organic,https://www.groundworks.com/service-areas/boston-ma-basement-waterproofing/,92,0.04109,tracking,t,n/a,10,23
bulkhead repair,14,0.01526,organic,https://www.attackacrack.com/leaky-bulkhead-repair,-6,-0.02583,5,0.07162,reviews,https://www.a1foundationcrackrepair.com/bulkhead-waterproofing,1,0.02348,61,0.00470,organic,https://crackx.com/repair-a-leaking-bulkhead/,-52,-0.03053,-,0.00000,,,-,0.00000,tracking,c,n/a,10,16
concrete crack repair contractors,14,0.01526,organic,https://www.attackacrack.com/massachusetts,86,0.01526,13,0.01644,organic,https://www.a1foundationcrackrepair.com/,87,0.01644,29,0.00986,organic,https://crackx.com/natick-massachusetts/,71,0.00986,-,0.00000,,,-,0.00000,,c,n/a,10,5
concrete foundation near me,14,0.01526,organic,https://www.attackacrack.com/,86,0.01526,33,0.00892,organic,https://www.a1foundationcrackrepair.com/,67,0.00892,-,0.00000,,,-,0.00000,9,0.03522,organic,https://www.groundworks.com/service-areas/massachusetts/boston-ma/,91,0.03522,,t,n/a,10,33
foundation crack repair services,14,0.01526,organic,https://www.attackacrack.com/,86,0.01526,7,0.04461,reviews,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,93,0.04461,8,0.04109,organic,https://crackx.com/natick-massachusetts/,92,0.04109,40,0.00728,organic,https://www.groundworks.com/service-areas/boston-ma-foundation-repair/,60,0.00728,,c,n/a,n/a,13
basement bulkhead repair,15,0.01468,organic,https://www.attackacrack.com/blog/why-your-bulkhead-door-might-be-leaking-and-how-to-fix-it-for-good,85,0.01468,4,0.09275,ai overview,https://www.a1foundationcrackrepair.com/bulkhead-waterproofing,96,0.09275,4,0.09275,ai overview,https://crackx.com/repair-a-leaking-bulkhead/,96,0.09275,72,0.00340,organic,https://www.groundworks.com/resources/northeast-new-england-bilco-bulkhead-doors/,28,0.00340,,i,n/a,10,8
bulkhead leaking,15,0.01468,organic,https://www.attackacrack.com/leaky-bulkhead-repair,85,0.01468,18,0.01327,reviews,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-do-i-fix-my-leaking-bulkhead-boston-ma,82,0.01327,1,0.42735,ai overview,https://crackx.com/repair-a-leaking-bulkhead/,99,0.42735,-,0.00000,,,-,0.00000,,i,n/a,10,6
bulkhead door repair,16,0.01409,organic,https://www.attackacrack.com/blog/why-your-bulkhead-door-might-be-leaking-and-how-to-fix-it-for-good,84,0.01409,-,0.00000,,,-,0.00000,8,0.04109,organic,https://crackx.com/merrimack-valley-massachusetts/bulkhead-door-replacement-chelmsford/,92,0.04109,-,0.00000,,,-,0.00000,,i,n/a,10,7
concrete foundation repair near me,16,0.01409,organic,https://www.attackacrack.com/,84,0.01409,23,0.01127,reviews,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,77,0.01127,36,0.00822,organic,https://crackx.com/natick-massachusetts/,64,0.00822,6,0.04814,organic,https://www.groundworks.com/service-areas/massachusetts/boston-ma/,94,0.04814,,t,n/a,10,43
bulkhead sealant,17,0.01362,organic,https://www.attackacrack.com/blog/why-your-bulkhead-door-might-be-leaking-and-how-to-fix-it-for-good,83,0.01362,54,0.00552,organic,https://www.a1foundationcrackrepair.com/bulkhead-waterproofing,46,0.00552,1,0.42735,ai overview,https://crackx.com/how-to-seal-a-basement-bulkhead-door/,99,0.42735,-,0.00000,,,-,0.00000,,i|c,n/a,10,23
bulkhead fix,20,0.01233,organic,https://www.attackacrack.com/leaky-bulkhead-repair,80,0.01233,5,0.07162,reviews,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-do-i-fix-my-leaking-bulkhead-boston-ma,95,0.07162,17,0.01362,organic,https://crackx.com/repair-a-leaking-bulkhead/,83,0.01362,-,0.00000,,,-,0.00000,,i,n/a,n/a,9
fixing crack in foundation,20,0.01233,organic,https://www.attackacrack.com/,80,0.01233,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,50,0.00599,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,50,0.00599,,i,12.48,50,26
repairing cracked foundation,20,0.01233,organic,https://www.attackacrack.com/,80,0.01233,105,0.00012,organic,https://www.a1foundationcrackrepair.com/,-5,0.00012,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,99,0.42735,,i,n/a,n/a,29
bulkhead door seal,21,0.01174,organic,https://www.attackacrack.com/blog/why-your-bulkhead-door-might-be-leaking-and-how-to-fix-it-for-good,79,0.01174,-,0.00000,,,-,0.00000,37,0.00798,organic,https://crackx.com/a-step-by-step-guide-to-bulkhead-waterproofing/,63,0.00798,43,0.00681,organic,https://www.groundworks.com/resources/bulkhead-and-cellar-door-replacement-in-northeast-new-england/,57,0.00681,,i,n/a,10,11
concrete for foundation repair,21,0.01174,organic,https://www.attackacrack.com/,79,0.01174,26,0.01057,organic,https://www.a1foundationcrackrepair.com/,74,0.01057,-,0.00000,,,-,0.00000,82,0.00223,organic,https://www.groundworks.com/,18,0.00223,,i,n/a,10,34
fix crack in foundation,21,0.01174,organic,https://www.attackacrack.com/,79,0.01174,22,0.01151,organic,https://www.a1foundationcrackrepair.com/,78,0.01151,-,0.00000,,,-,0.00000,13,0.01644,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,87,0.01644,,i,12.48,50,31
