Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,attackacrack.com,a1foundationcrackrepair.com,crackx.com,groundworks.com,attackacrack.com (pages),a1foundationcrackrepair.com (pages),crackx.com (pages),groundworks.com (pages),Results
foundation settlement,Informational,5400,14,8.85,0.21,0,0,61,1,,,https://crackx.com/what-is-foundation-settlement/,https://www.groundworks.com/glossary/foundation-settlement/,355000000
foundation vent covers,Commercial,5400,14,0.72,1.00,0,0,0,29,,,,https://www.groundworks.com/solutions/crawl-space-repair/vent-covers/,0
foundation waterproofing near me,Transactional,5400,32,17.45,0.25,0,0,0,22,,,,https://www.groundworks.com/,11200000
how much does foundation repair cost,Informational,5400,15,5.99,0.48,0,0,0,13,,,,https://www.groundworks.com/resources/how-much-does-foundation-repair-cost/,176000000
lally column,Informational,5400,10,0.55,0.75,0,0,0,20,,,,https://www.groundworks.com/resources/what-is-a-lally-column/,592000
pier and beam foundation repair,Informational,5400,21,13.70,0.66,0,0,0,4,,,,https://www.groundworks.com/resources/what-is-a-pier-and-beam-foundation-problem-signs-and-repair-solutions/,1720000
sinking foundation,Informational,5400,15,1.91,0.04,0,0,61,6,,,https://crackx.com/a-guide-to-identifying-and-repairing-sinking-foundation-in-rhode-island/,https://www.groundworks.com/resources/how-much-is-too-much-foundation-sinking/,147
weep holes,Informational,5400,14,1.02,0.04,0,0,0,10,,,,https://www.groundworks.com/glossary/weep-holes/,0
wet basement,Informational,5400,27,19.75,0.28,0,0,0,21,,,,https://www.groundworks.com/solutions/basement-waterproofing/,41400000
what is considered high humidity,Informational,5400,36,0.21,0.03,0,0,0,94,,,,https://www.groundworks.com/resources/how-humidity-affects-indoor-temperature/,158000000
ant infestation,Informational,4400,44,3.94,0.40,0,0,0,93,,,,https://www.groundworks.com/resources/ants-in-the-house/,188
backfill,Informational,4400,27,1.75,0.00,0,0,0,7,,,,https://www.groundworks.com/glossary/problems-caused-by-backfill-soil/,0
basement crawl space encapsulation,Informational,4400,25,11.09,0.44,0,0,0,7,,,,https://www.groundworks.com/solutions/crawl-space-repair/crawl-space-encapsulation/,202
basement sealing and waterproofing,Informational,4400,34,14.01,0.49,0,0,0,13,,,,https://www.groundworks.com/resources/basement-waterproofing-ultimate-guide/,205
basement water leak,Informational,4400,25,23.59,0.49,0,0,0,59,,,,https://www.groundworks.com/resources/how-to-stop-basement-wall-leaks-in-their-tracks/,0
basement water leak repair,Commercial,4400,9,19.37,0.64,0,0,0,54,,,,https://www.groundworks.com/contact-us/,12100000
concrete leveling cost,Informational,4400,7,6.58,0.38,0,0,0,14,,,,https://www.groundworks.com/resources/concrete-leveling-cost/,0
concrete slab foundation,Informational,4400,25,3.82,0.08,0,0,0,14,,,,https://www.groundworks.com/resources/how-to-build-a-slab-foundation/,34000000
crack in basement wall,Informational,4400,4,6.85,0.65,0,0,0,50,,,,https://www.groundworks.com/resources/repairing-concrete-foundation-wall-cracks-the-right-way/,16700000
dehumidifiers for basements,Commercial,4400,38,1.28,1.00,0,0,0,54,,,,https://www.groundworks.com/solutions/basement-waterproofing/dehumidifier/,2650000
foundation companies near me,Transactional,4400,33,22.42,0.68,0,0,0,5,,,,https://www.groundworks.com/solutions/foundation-repair/,970000000
foundation contractors,Commercial,4400,35,15.65,0.15,0,0,0,13,,,,https://www.groundworks.com/,119000000
foundation inspection cost,Informational,4400,17,12.41,0.25,0,0,0,92,,,,https://www.groundworks.com/resources/how-much-does-foundation-repair-cost/,146000000
foundation leak,Informational,4400,3,14.98,0.60,0,0,0,34,,,,https://www.groundworks.com/resources/how-long-before-water-will-damage-foundation/,231000000
foundation problems,Informational,4400,16,12.69,0.15,0,0,0,25,,,,https://www.groundworks.com/resources/most-common-foundation-problems/,136
foundation recovery systems,Commercial,4400,36,13.89,0.61,0,0,0,6,,,,https://www.groundworks.com/locations/foundation-recovery-systems/,258000000
foundation repair services,Informational,4400,52,23.06,0.05,0,0,0,51,,,,https://www.groundworks.com/solutions/foundation-repair/services/,0
foundation repairs near me,Transactional,4400,35,20.41,0.64,0,0,0,47,,,,https://www.groundworks.com/service-areas/foundation-repair-new-port-richey-fl/,62900000
foundation settling,"Commercial, Informational",4400,15,8.85,0.21,0,0,39,26,,,https://crackx.com/settling-vs-foundation-failure-understanding-the-difference/,https://www.groundworks.com/glossary/foundation-settlement/,147
foundation underpinning,Informational,4400,22,5.97,0.29,0,0,0,57,,,,https://www.groundworks.com/glossary/underpinning/,31500000
inspection for foundation,Informational,4400,15,21.68,0.29,0,0,0,4,,,,https://www.groundworks.com/resources/foundation-inspection-benefits/,145
jes foundation repair,Informational,4400,50,11.50,0.40,0,0,0,5,,,,https://www.groundworks.com/locations/jes-foundation-repair/,0
joist definition,Informational,4400,56,0.90,0.01,0,0,0,11,,,,https://www.groundworks.com/glossary/floor-joists/,0
mud jacking,Informational,4400,15,10.95,0.59,0,0,0,28,,,,https://www.groundworks.com/resources/what-is-mudjacking/,49800000
mudjacking near me,Transactional,4400,22,14.62,0.90,0,0,0,52,,,,https://www.groundworks.com/service-areas/concrete-lifting-richmond-ky/,218000
mudslides,Informational,4400,51,0.33,0.16,0,0,0,64,,,,https://www.groundworks.com/resources/what-happens-after-mudslides/,0
pier beam foundation,Informational,4400,15,6.80,0.18,0,0,0,6,,,,https://www.groundworks.com/resources/pier-and-beam-vs-crawl-space-foundation/,4640000
pool concrete repair,Commercial,4400,12,6.54,0.22,0,0,0,24,,,,https://www.groundworks.com/solutions/concrete-lifting/pool-deck-cracks/,44500000
signs of foundation issues,"Commercial, Informational",4400,24,4.13,0.24,0,0,0,95,,,,https://www.groundworks.com/solutions/foundation-repair/problem-signs/,146
slab foundation repair,Commercial,4400,10,12.43,0.57,0,0,0,38,,,,https://www.groundworks.com/resources/slab-foundation-leveling-what-to-know/,13200000
sump pump for basement,Informational,4400,40,4.06,1.00,0,0,0,41,,,,https://www.groundworks.com/resources/what-is-basement-sump-pump/,5220000
underpinning foundation,Informational,4400,24,5.97,0.29,0,0,0,19,,,,https://www.groundworks.com/resources/residential-foundation-underpinning-repair/,31200000
wet basement solutions,Commercial,4400,40,9.61,0.38,0,0,0,22,,,,https://www.groundworks.com/service-areas/basement-waterproofing-raleigh-nc/,0
what is silt,Informational,4400,42,0.26,0.00,0,0,0,61,,,,https://www.groundworks.com/resources/understanding-soil-and-water-across-the-u-s/,21500000
window wells,Commercial,4400,16,1.61,0.66,0,0,0,23,,,,https://www.groundworks.com/solutions/basement-waterproofing/egress-windows/,0
alpha foundations,Navigational,3600,42,10.02,0.59,0,0,0,10,,,,https://www.groundworks.com/locations/alpha-foundations/,54100000
basement crack repair near me,Transactional,3600,7,14.57,0.68,0,21,72,8,,https://www.a1foundationcrackrepair.com/massachusetts,https://crackx.com/new-hampshire/,https://www.groundworks.com/service-areas/foundation-repair-greensboro-nc/,218
basement crawl space,Informational,3600,25,7.46,0.25,0,0,0,7,,,,https://www.groundworks.com/glossary/crawl-space/,196
basement crawl space vapor barrier,Informational,3600,5,5.74,1.00,0,0,0,23,,,,https://www.groundworks.com/solutions/crawl-space-repair/crawl-space-encapsulation/,432000
basement flood cleanup,Commercial,3600,33,48.56,0.36,0,0,0,34,,,,https://www.groundworks.com/resources/how-to-clean-up-a-flooded-basement/,188
basement floor crack repair,Informational,3600,13,5.97,0.20,0,33,25,13,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/foundation-floor-crack-repair/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,6240000
basement leaks,Informational,3600,15,20.35,0.72,0,0,0,55,,,,https://www.groundworks.com/resources/preventing-repairing-basement-leaks/,19200000
basement water,Informational,3600,30,25.69,0.79,0,0,0,2,,,,https://www.groundworks.com/resources/what-causes-water-in-basement/,0
bees nest,Informational,3600,30,3.58,0.03,0,0,0,51,,,,https://www.groundworks.com/resources/what-hive-is-it/,47300000
bowing basement wall,Informational,3600,5,7.92,0.44,0,0,0,42,,,,https://www.groundworks.com/solutions/foundation-repair/bowed-basement-wall/,1170000
city of grand junction jobs,Commercial,3600,31,0.31,0.28,0,0,0,69,,,,https://www.groundworks.com/careers/grand-junction/,14800000
concrete block wall,Informational,3600,43,2.03,0.65,0,0,0,35,,,,https://www.groundworks.com/resources/waterproofing-concrete-block-walls-what-homeowners-need-to-know/,127000000
concrete filler,Informational,3600,23,1.47,1.00,0,0,0,70,,,,https://www.groundworks.com/,0
concrete footings,"Commercial, Informational",3600,28,3.36,0.27,0,0,0,4,,,,https://www.groundworks.com/glossary/concrete-footing/,4600000
concrete foundation,Informational,3600,36,6.37,0.24,0,0,0,83,,,,https://www.groundworks.com/,283000000
cracked concrete,Informational,3600,20,3.68,0.39,0,0,0,46,,,,https://www.groundworks.com/resources/how-to-repair-cracks-in-concrete/,83100000
cracked foundation,Informational,3600,27,7.24,0.41,0,49,0,7,,https://www.a1foundationcrackrepair.com/,,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,0
cracks in foundation,Informational,3600,17,6.62,0.41,0,0,0,33,,,,https://www.groundworks.com/resources/are-foundation-cracks-normal/,59600000
cracks in foundation slab,Informational,3600,7,6.61,0.42,0,0,0,3,,,,https://www.groundworks.com/solutions/foundation-repair/cracked-foundation-slab/,143
crawl space dehumidifier installation,Informational,3600,1,7.50,0.18,0,0,0,53,,,,https://www.groundworks.com/solutions/crawl-space-repair/dehumidifier/,1440000
crawl space drainage,Informational,3600,10,9.42,0.72,0,0,0,42,,,,https://www.groundworks.com/solutions/crawl-space-repair/drainage-matting/,5250000
crawl space foundation repair cost,"Commercial, Informational",3600,29,8.86,0.48,0,0,0,12,,,,https://www.groundworks.com/resources/how-much-does-foundation-repair-cost/,3410000
crawl space inspection near me,Transactional,3600,10,18.54,0.36,0,0,0,1,,,,https://www.groundworks.com/service-areas/crawl-space-repair-sarasota-fl/,0
crawl space ventilation,Informational,3600,32,1.78,0.96,0,0,0,28,,,,https://www.groundworks.com/resources/do-crawl-space-ventilation-fans-work/,5310000
crawlspace insulation,Commercial,3600,18,9.49,1.00,0,0,0,71,,,,https://www.groundworks.com/resources/what-goes-into-insulating-a-crawl-space/,6490000
drain rain gutter,"Commercial, Informational",3600,37,3.73,0.56,0,0,0,69,,,,https://www.groundworks.com/resources/why-invest-in-underground-downspouts/,0
encapsulate crawl space,Informational,3600,24,11.09,0.44,0,0,0,3,,,,https://www.groundworks.com/solutions/crawl-space-repair/crawl-space-encapsulation/,0
encapsulating,Informational,3600,51,3.22,0.01,0,0,0,54,,,,https://www.groundworks.com/resources/encapsulation-investment-energy-savings/,20500000
exterior basement waterproofing,Informational,3600,18,8.17,0.49,0,0,0,31,,,,https://www.groundworks.com/resources/interior-vs-exterior-waterproofing/,0
fix concrete cracks,Informational,3600,32,2.57,1.00,0,0,0,34,,,,https://www.groundworks.com/resources/how-to-repair-cracks-in-concrete/,18300000
footing,Informational,3600,35,3.74,0.02,0,0,0,6,,,,https://www.groundworks.com/glossary/concrete-footing/,0
foundation crack repair near me,Transactional,3600,7,17.37,0.09,0,63,0,13,,https://www.a1foundationcrackrepair.com/residential-services,,https://www.groundworks.com/service-areas/south-carolina/spartanburg-sc/,0
foundation damage,Informational,3600,26,7.60,0.32,0,0,0,19,,,,https://www.groundworks.com/resources/signs-your-home-has-foundation-problem/,822000000
foundation leveling,Informational,3600,13,18.92,0.62,0,0,0,14,,,,https://www.groundworks.com/resources/foundation-leveling-vs-repair/,0
foundation repair professional,Commercial,3600,49,16.88,0.11,0,0,0,4,,,,https://www.groundworks.com/solutions/foundation-repair/,0
foundation repairs,Commercial,3600,46,24.69,0.26,0,0,0,46,,,,https://www.groundworks.com/,0
foundation stabilization,Informational,3600,5,18.90,0.31,0,0,0,25,,,,https://www.groundworks.com/resources/the-ultimate-guide-to-stabilizing-your-foundation/,222
foundation waterproofing cost,"Commercial, Informational",3600,22,7.67,0.62,0,0,0,33,,,,https://www.groundworks.com/resources/how-much-does-basement-waterproofing-cost/,7860000
greatest dam in the world,Informational,3600,44,0.00,0.00,0,0,0,21,,,,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,81200000
ground works,Navigational,3600,42,9.18,0.38,0,0,0,1,,,,https://www.groundworks.com/,1360000000
horizontal foundation cracks,Informational,3600,5,5.64,0.40,0,0,61,1,,,https://crackx.com/horizontal-cracks/,https://www.groundworks.com/resources/horizontal-cracks-in-drywall-and-foundation-walls-when-to-worry/,0
house foundation,Informational,3600,27,7.54,0.17,0,0,0,11,,,,https://www.groundworks.com/resources/popular-house-foundation-types/,1700000000
how to winterize sprinkler system,Informational,3600,13,0.37,0.34,0,0,0,56,,,,https://www.groundworks.com/resources/how-to-winterize-sprinkler-system/,149
joist meaning,Informational,3600,44,0.85,0.01,0,0,0,15,,,,https://www.groundworks.com/glossary/floor-joists/,0
monolithic slab,Informational,3600,14,1.88,0.01,0,0,0,11,,,,https://www.groundworks.com/resources/monolithic-slab-memphis/,118
musty smell in basement,Informational,3600,25,1.57,1.00,0,0,0,33,,,,https://www.groundworks.com/resources/smell-in-basement/,2020000
musty smell in house,Informational,3600,23,1.51,0.99,0,0,0,48,,,,https://www.groundworks.com/resources/damp-smell-persisting-unearth-the-perfect-home-humidity-to-keep-your-home-odor-and-allergen-free/,10100000
north american earthquake,Informational,3600,72,0.00,0.00,0,0,0,94,,,,https://www.groundworks.com/resources/worst-us-cities-for-earthquakes/,26100000
ohio basement authority,Navigational,3600,36,8.96,0.58,0,0,0,6,,,,https://www.groundworks.com/locations/ohio-basement-authority/,123
pier beam,Informational,3600,20,5.38,0.13,0,0,0,2,,,,https://www.groundworks.com/resources/pier-and-beam-vs-slab-foundation/,0
pumps sump pump,"Commercial, Informational",3600,42,2.42,1.00,0,0,0,61,,,,https://www.groundworks.com/resources/sump-pump-systems-what-are-your-options/,0
self leveling cement,"Commercial, Informational",3600,38,1.02,1.00,0,0,0,19,,,,https://www.groundworks.com/resources/is-self-leveling-concrete-good/,417000000
self leveling compound,"Commercial, Informational",3600,24,0.40,1.00,0,0,0,18,,,,https://www.groundworks.com/resources/is-self-leveling-concrete-good/,22300000
soil texture triangle,Informational,3600,47,0.00,0.00,0,0,0,62,,,,https://www.groundworks.com/glossary/soil-triangle/,11100000
soil triangle,Informational,3600,38,0.00,0.00,0,0,0,35,,,,https://www.groundworks.com/glossary/soil-triangle/,74600000
sump pump basement,"Commercial, Informational",3600,53,4.06,1.00,0,0,0,40,,,,https://www.groundworks.com/resources/installing-a-sump-pump-in-your-basement/,4890000
