Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
foundation repair inspection,1,1,2400,14,26.54,https://www.groundworks.com/locations/groundworks-livonia/groundworks-livonia-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fsm-liv,595,0.7,15791.00,0.24,47600000,"[0,0,1,1,1,3,4,54,100,66,66,66]",2026-03-03,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Local pack
crawl space encapsulation near me,4,0,22200,8,19.38,https://www.groundworks.com/service-areas/crawl-space-repair-towson-md/,532,0.62,10310.00,0.12,0,"[10,29,24,20,36,36,100,100,66,66,81,81]",2026-03-08,"Local pack, Video, Image, AI overview",transactional,Organic
concrete leveling near me,5,5,22200,21,13.84,https://www.groundworks.com/service-areas/concrete-lifting-oklahoma-city-ok/,532,0.62,7362.00,0.16,0,"[5,13,24,20,24,20,100,54,20,13,13,13]",2026-03-07,"Local pack, Video, Image, Related searches",transactional,Organic
crawl space waterproofing,1,1,8100,17,14.17,https://www.groundworks.com/resources/10-ways-to-clean-waterproof-protect-your-crawl-space/,492,0.58,6971.00,0.49,3500000,"[8,10,12,29,29,44,36,100,100,100,100,54]",2026-03-04,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
groundworks operations llc,1,1,590,50,3.81,https://www.groundworks.com/,472,0.55,1798.00,0.13,140000,"[24,36,45,36,45,45,45,45,55,45,55,30]",2026-02-04,"Sitelinks, People also ask, Related searches",navigational,Organic
bay area underpinning,1,1,590,22,8.82,https://www.groundworks.com/locations/bay-area-underpinning/,472,0.55,4163.00,0.47,4600000,"[46,37,52,37,25,31,20,25,25,20,16,16]",2026-02-27,"Knowledge panel, Video, People also ask, Related searches",navigational,Organic
foundation repair companies near me,1,1,6600,44,21.32,https://www.groundworks.com/locations/groundworks-livonia/groundworks-livonia-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fsm-liv,429,0.5,9146.00,0.43,133000000,"[5,13,10,16,16,29,36,100,54,29,29,10]",2026-03-02,"Local pack, Video, People also ask, Related searches, AI overview",transactional,Local pack
ground works company,1,1,480,43,6.72,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,384,0.45,2580.00,0.55,849000000,"[7,36,54,54,100,100,10,44,67,54,81,54]",2026-02-01,"Knowledge panel, Local pack, Sitelinks, Video Carousel, People also ask, Related searches",navigational,Local pack
groundworks omaha,1,1,480,34,11.60,https://www.groundworks.com/locations/groundworks-omaha/,384,0.45,4454.00,0.38,127000,"[36,36,44,66,81,66,66,81,66,66,66,44]",2026-02-19,"Knowledge panel, Sitelinks, Video, People also ask, Related searches","navigational, transactional",Organic
groundworks,1,1,14800,60,9.18,https://www.groundworks.com/locations/groundworks-colorado-springs/groundworks-colorado-springs-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-cos,384,0.45,3525.00,0.38,41600000,"[44,81,66,66,54,81,100,66,81,66,100,54]",2026-03-05,"Knowledge panel, Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Local pack
foundation contractor,1,1,2900,32,15.65,https://www.groundworks.com/locations/groundworks-grand-junction/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-gjt,382,0.45,5978.00,0.15,151000000,"[16,27,100,27,52,100,80,100,100,80,80,100]",2026-03-03,"Local pack, Video, Image, People also ask, Related searches, Things to know",commercial,Local pack
crawl space encapsulation near me,1,0,22200,8,19.38,https://www.groundworks.com/service-areas/crawl-space-repair-reno-nv/,353,0.41,6841.00,0.12,0,"[10,29,24,20,36,36,100,100,66,66,81,81]",2026-03-08,"Local pack, Video, Image, AI overview",transactional,AI overview
foundation piers,2,1,5400,26,6.23,https://www.groundworks.com/resources/5-things-to-know-about-foundation-piers/,351,0.41,2186.00,0.18,0,"[16,10,10,13,44,66,66,100,81,66,81,54]",2026-03-08,"Image pack, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
foundation settlement,1,1,5400,14,8.85,https://www.groundworks.com/glossary/foundation-settlement/,328,0.38,2902.00,0.21,355000000,"[13,10,13,44,44,54,54,54,100,81,81,81]",2026-03-05,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,AI overview
concrete repair near me,1,1,14800,40,10.25,https://www.groundworks.com/resources/diy-vs-professional-concrete-crack-repair/,325,0.38,3331.00,0.68,110000000,"[100,10,24,16,16,29,29,54,44,44,36,24]",2026-03-05,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,People also ask
home foundation repair,3,0,9900,23,19.20,https://www.groundworks.com/solutions/foundation-repair/,297,0.35,5702.00,0.54,0,"[13,24,24,29,44,54,81,100,66,54,54,16]",2026-03-09,"Local pack, Sitelinks, Video, Related searches, Short videos",commercial,Organic
basement water,2,22,3600,30,25.69,https://www.groundworks.com/resources/what-causes-water-in-basement/,295,0.34,7578.00,0.79,0,"[7,5,7,16,66,66,66,100,10,81,81,44]",2026-03-08,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
groundworks,1,1,14800,60,9.18,https://www.groundworks.com/locations/groundworks-grand-junction/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-gjt,266,0.31,2441.00,0.38,41600000,"[44,81,66,66,54,81,100,66,81,66,100,54]",2026-03-05,"Knowledge panel, Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Local pack
groundworks company,1,1,320,36,6.72,https://www.groundworks.com/,256,0.3,1720.00,0.55,4150000,"[9,36,44,23,36,44,44,29,29,66,100,100]",2026-02-24,"Knowledge panel, Local pack, Sitelinks, People also ask, Related searches",navigational,Organic
groundworks denver,1,1,320,29,17.01,https://www.groundworks.com/locations/groundworks-denver/,256,0.3,4354.00,0.46,204000,"[26,32,32,48,39,39,48,59,39,21,17,26]",2026-02-28,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches",navigational,Organic
what is dry rot,1,1,1900,16,0.91,https://www.groundworks.com/resources/dry-rot-wood-rot/,250,0.29,227.00,0.02,0,"[36,43,43,43,54,43,54,43,43,43,43,36]",2026-03-07,"Video, Related searches, AI overview",informational,Organic
foundation repair services,1,0,4400,52,23.06,https://www.groundworks.com/solutions/foundation-repair/services/,246,0.29,5672.00,0.05,0,"[10,13,19,19,23,29,54,100,81,29,29,29]",2026-03-08,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,AI overview
wet basement,1,1,5400,27,19.75,https://www.groundworks.com/solutions/basement-waterproofing/wet-floors/,237,0.27,4680.00,0.28,41400000,"[10,13,10,36,36,44,44,54,100,81,15,81]",2026-03-06,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Image pack
foundation settlement repair,1,1,2900,13,9.79,https://www.groundworks.com/locations/groundworks-livonia/groundworks-livonia-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fsm-liv,237,0.27,2320.00,0.09,36700000,"[3,12,35,35,16,54,10,19,81,12,12,100]",2026-03-03,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Local pack
foundation companies,1,1,2900,28,23.89,https://www.groundworks.com/locations/groundworks-omaha/groundworks-omaha-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-oma,237,0.27,5661.00,0.37,1360000000,"[18,35,13,13,24,81,81,100,81,81,100,53]",2026-03-03,"Local pack, Video, People also ask, Related searches",commercial,Local pack
foundation settlement,1,1,5400,14,8.85,https://www.groundworks.com/glossary/foundation-settlement/,237,0.27,2097.00,0.21,355000000,"[13,10,13,44,44,54,54,54,100,81,81,81]",2026-03-05,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Image pack
crawl space inspection near me,1,1,3600,10,18.54,https://www.groundworks.com/service-areas/crawl-space-repair-sarasota-fl/,234,0.27,4338.00,0.36,0,"[10,16,16,16,19,24,36,81,100,44,44,36]",2026-03-07,"Local pack, Video",transactional,Organic
pier beam,2,0,3600,20,5.38,https://www.groundworks.com/resources/pier-and-beam-vs-slab-foundation/,234,0.27,1258.00,0.13,0,"[7,19,10,10,13,13,43,100,100,100,100,100]",2026-03-08,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
lally column,1,1,5400,10,0.55,https://www.groundworks.com/resources/what-is-a-lally-column/,221,0.26,121.00,0.75,592000,"[66,81,81,81,100,81,100,81,81,66,100,66]",2026-03-02,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Short videos, Things to know, AI overview",informational,Things to know
foundation repair underpinning,1,1,1600,5,11.23,https://www.groundworks.com/resources/residential-foundation-underpinning-repair/,211,0.24,2369.00,0.02,2700000,"[0,3,3,4,5,7,7,10,54,100,43,24]",2026-02-28,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
groundworks colorado springs,1,1,260,28,15.11,https://www.groundworks.com/locations/groundworks-colorado-springs/,208,0.24,3142.00,0.73,81100,"[43,34,53,65,65,65,81,100,81,81,100,100]",2026-01-14,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","navigational, transactional",Organic
groundworks llc,1,1,260,44,3.32,https://www.groundworks.com/,208,0.24,690.00,0.12,441000,"[7,8,8,13,20,13,16,13,16,16,13,11]",2026-01-15,"Knowledge panel, Local pack, Sitelinks, Ads bottom, People also ask, Related searches",navigational,Organic
groundworks,1,1,14800,60,9.18,https://www.groundworks.com/,207,0.24,1900.00,0.38,41600000,"[44,81,66,66,54,81,100,66,81,66,100,54]",2026-03-05,"Knowledge panel, Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
crawl space repair near me,4,4,22200,11,18.29,https://www.groundworks.com/service-areas/crawl-space-repair-cincinnati-oh/,199,0.23,3639.00,0.53,14200000,"[2,3,5,10,16,24,20,100,44,20,8,16]",2026-03-04,"Local pack, Image, People also ask, Related searches, AI overview",transactional,Organic
pier and beam crawl space,1,1,2400,5,5.21,https://www.groundworks.com/resources/pier-and-beam-vs-crawl-space-foundation/,196,0.23,1021.00,0.26,183,"[1,0,1,0,1,0,0,8,100,100,100,100]",2026-03-04,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
foundation repair contractors,5,0,8100,26,20.97,https://www.groundworks.com/service-areas/foundation-repair-greensboro-nc/,194,0.22,4068.00,0.05,0,"[12,12,81,36,54,24,81,81,81,19,81,100]",2026-03-09,"Local pack, Video, Related searches",commercial,Organic
crawl space vents,1,1,5400,27,1.52,https://www.groundworks.com/glossary/open-crawl-space-vents/,187,0.22,284.00,1,5150000,"[24,29,36,29,44,29,29,81,81,100,100,81]",2026-03-08,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, AI overview",informational,AI overview
foundation underpinning services near me,1,1,720,58,0.00,https://www.groundworks.com/locations/groundworks-fairfield/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-ccr,178,0.21,0.00,0,363000000,"[30,16,16,30,55,55,81,100,55,62,16]",2026-01-26,"Local pack, Sitelinks, People also ask, Related searches, AI overview",transactional,Local pack
crawl space waterproofing,1,1,8100,17,14.17,https://www.groundworks.com/resources/10-ways-to-clean-waterproof-protect-your-crawl-space/,178,0.21,2522.00,0.49,3500000,"[8,10,12,29,29,44,36,100,100,100,100,54]",2026-03-04,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
crawl space structural repair,1,1,720,18,22.32,https://www.groundworks.com/locations/groundworks-livonia/groundworks-livonia-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fsm-liv,178,0.21,3972.00,0.58,2840000,"[0,1,3,1,1,4,3,13,100,20,36,27]",2026-02-27,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Local pack
horizontal wall cracks,1,1,1300,5,3.99,https://www.groundworks.com/resources/horizontal-cracks-in-drywall-and-foundation-walls-when-to-worry/,171,0.2,682.00,0.3,0,"[0,0,0,0,0,0,0,0,28,36,54,100]",2026-03-01,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
basement company near me,1,1,1300,42,15.24,https://www.groundworks.com/locations/groundworks-fort-wayne/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-fwa,171,0.2,2606.00,0.56,302000000,"[3,20,3,1,2,2,16,100,36,44,80,66]",2026-01-11,"Local pack, Video, Ads bottom, People also ask, Related searches",transactional,Local pack
groundworks careers,1,1,210,27,0.83,https://www.groundworks.com/careers/,168,0.19,139.00,0.04,1470000,"[23,28,35,44,28,28,28,44,44,35,28,28]",2026-01-05,"Sitelinks, Jobs search, People also ask, Related searches",navigational,Organic
groundworks waterproofing,1,1,210,32,8.41,https://www.groundworks.com/solutions/basement-waterproofing/,168,0.19,1412.00,0.8,420000,"[35,43,100,53,53,28,35,53,53,66,53,53]",2026-01-31,"Knowledge panel, Image pack, Sitelinks, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
bq basement systems,1,1,210,23,11.57,https://www.groundworks.com/locations/bq-basements-concrete/,168,0.19,1943.00,0.66,501000,"[11,8,13,13,8,11,13,16,8,7,8,5]",2026-01-18,"Knowledge panel, Image pack, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches","informational, transactional",Organic
groundworks tulsa,1,1,210,23,12.34,https://www.groundworks.com/locations/groundworks-tulsa/groundworks-tulsa-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-tul,168,0.19,2073.00,0.72,14400,"[53,65,80,100,100,80,80,80,80,65,65,42]",2026-02-24,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Local pack
groundworks virginia beach,1,1,210,24,4.19,https://www.groundworks.com/service-areas/foundation-repair-virginia-beach-va/,168,0.19,703.00,0.39,0,"[66,82,53,53,43,43,53,66,53,66,35,35]",2026-03-07,"Knowledge panel, Sitelinks, Video, Image, Related searches","navigational, transactional",Organic
foundation settlement,1,1,5400,14,8.85,https://www.groundworks.com/glossary/foundation-settlement/,162,0.19,1433.00,0.21,355000000,"[13,10,13,44,44,54,54,54,100,81,81,81]",2026-03-05,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
basement crawl space vapor barrier,1,1,3600,5,5.74,https://www.groundworks.com/solutions/crawl-space-repair/crawl-seal/,158,0.18,906.00,1,432000,"[1,0,0,0,13,66,0,66,100,66,66,66]",2026-03-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Image pack
horizontal foundation cracks,1,12,3600,5,5.64,https://www.groundworks.com/resources/horizontal-cracks-in-drywall-and-foundation-walls-when-to-worry/,158,0.18,891.00,0.4,0,"[5,7,44,44,44,44,44,100,81,35,81,7]",2026-03-08,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
house foundation repair,3,3,12100,10,19.20,https://www.groundworks.com/resources/ultimate-guide-foundation-repair/,157,0.18,3014.00,0.54,146,"[13,29,29,24,54,54,81,100,81,54,44,44]",2026-03-06,"Local pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
foundation repair near me,10,10,49500,53,20.41,https://www.groundworks.com/solutions/foundation-repair/,148,0.17,3020.00,0.64,307000000,"[24,16,16,20,20,30,30,100,67,30,30,24]",2026-03-02,"Local pack, Video, People also ask, Related searches",transactional,Organic
foundation underpinning contractors,1,1,590,11,0.00,https://www.groundworks.com/locations/groundworks-fairfield/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-ccr,146,0.17,0.00,0.06,955000,"[1,1,8,6,24,30,45,36,62,100,55,24]",2026-01-05,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Local pack
pittsburgh 10 day forecast,2,2,4400,61,0.00,https://www.groundworks.com/resources/worst-us-cities-for-rainfall/,143,0.16,0.00,0,179000000,"[29,24,29,29,16,24,29,16,19,19,29,16]",2026-03-02,"Video, People also ask, Related searches",informational,People also ask
groundworks basement waterproofing,1,1,170,29,9.78,https://www.groundworks.com/solutions/basement-waterproofing/,136,0.16,1330.00,0.81,226000,"[23,6,9,9,6,9,19,36,66,36,23,23]",2026-02-13,"Knowledge panel, Image pack, Sitelinks, Video Carousel, People also ask, Related searches",navigational,Organic
groundworks seattle,1,1,170,24,18.49,https://www.groundworks.com/locations/groundworks-seattle/,136,0.16,2514.00,0.77,176000,"[42,42,65,80,65,100,65,65,100,65,65,65]",2026-01-12,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
groundworks foundation,1,1,170,47,10.61,https://www.groundworks.com/,136,0.16,1442.00,0.7,2220000,"[15,12,10,19,15,19,23,23,23,23,36,23]",2026-01-17,"Local pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches",navigational,Organic
groundwork company,1,1,170,58,7.02,https://www.groundworks.com/,136,0.16,954.00,0.6,31900000,"[14,54,22,22,29,29,22,22,35,22,100,66]",2026-01-05,"Local pack, Sitelinks, Video, Image, People also ask, Related searches","commercial, navigational",Organic
groundworks philadelphia,1,1,170,21,10.44,https://www.groundworks.com/locations/groundworks-philadelphia/,136,0.16,1419.00,0.55,192000,"[42,65,65,100,65,65,53,65,80,53,80,53]",2026-02-21,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
groundworks colorado,1,1,170,26,16.25,https://www.groundworks.com/locations/groundworks-colorado-springs/groundworks-colorado-springs-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-cos,136,0.16,2210.00,0.67,253000,"[11,18,15,54,28,35,44,28,35,35,35,23]",2026-03-01,"Local pack, Video, Image, People also ask, Related searches",navigational,Local pack
groundworks okc,1,1,170,20,9.98,https://www.groundworks.com/locations/groundworks-oklahoma-city/,136,0.16,1357.00,0.6,10500,"[52,52,52,52,66,100,80,80,80,80,100,80]",2026-01-13,"Knowledge panel, Sitelinks, People also ask, Related searches","navigational, transactional",Organic
groundworks wichita ks,1,1,170,19,16.62,https://www.groundworks.com/locations/groundworks-wichita/,136,0.16,2260.00,0.66,6750,"[34,53,53,53,65,80,65,100,100,100,80,80]",2026-01-15,"Knowledge panel, Sitelinks, Video, Ads bottom, People also ask, Related searches","navigational, transactional",Organic
groundworks locations,1,1,170,31,5.58,https://www.groundworks.com/locations/,136,0.16,758.00,0.47,1500000,"[65,53,53,65,15,65,65,80,80,80,65,42]",2026-02-01,"Local pack, Sitelinks, Video, People also ask, Related searches, AI overview",navigational,Organic
groundworks.com,1,1,170,50,9.03,https://www.groundworks.com/,136,0.16,1228.00,0.72,3900000,"[35,29,43,35,35,35,29,35,54,0,35,35]",2026-01-29,"Sitelinks, Video, People also ask",navigational,Organic
ground work,1,1,1000,58,9.18,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,132,0.15,1211.00,0.38,2000000000,"[44,36,36,27,52,27,20,16,16,24,24,36]",2026-02-01,"Local pack, Image pack, Video, People also ask, Related searches, See results about",commercial,Local pack
commercial foundation repair,3,3,1600,9,34.01,https://www.groundworks.com/commercial/solutions/foundation-repair/,131,0.15,4455.00,0.12,143000000,"[5,16,16,27,27,36,36,66,100,66,36,44]",2026-02-04,"Knowledge panel, Video, Video Carousel, People also ask, Related searches",informational,Organic
foundation inspection near me,5,5,5400,17,22.87,https://www.groundworks.com/,129,0.15,2950.00,0.32,0,"[16,16,16,19,44,44,100,100,66,24,10,36]",2026-03-07,"Local pack, Video, Related searches",transactional,Organic
foundation repair company,7,7,6600,44,23.53,https://www.groundworks.com/,125,0.14,2941.00,0.13,0,"[19,19,24,29,54,36,100,81,66,66,36,36]",2026-03-07,"Local pack, Video, Related searches",commercial,Organic
concrete footings,1,1,3600,28,3.36,https://www.groundworks.com/glossary/concrete-footing/,124,0.14,416.00,0.27,4600000,"[23,35,44,29,44,35,54,54,35,66,44,44]",2026-03-04,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",AI overview
foundation support specialists,1,1,480,18,17.38,https://www.groundworks.com/locations/groundworks-dallas/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dfw,119,0.14,2068.00,0.69,184000000,"[100,45,67,55,45,30,30,24,24,13,10,10]",2026-01-10,"Local pack, Video, People also ask, Related searches",commercial,Local pack
basement waterproofing contractors near me,1,1,480,27,19.36,https://www.groundworks.com/locations/groundworks-livonia/groundworks-livonia-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fsm-liv,119,0.14,2303.00,0.34,0,"[20,45,55,24,55,30,100,76,36,13,10,13]",2026-03-08,"Local pack, Sitelinks, Video, Related searches",transactional,Local pack
concrete lifting near me,7,7,5400,40,13.01,https://www.groundworks.com/solutions/concrete-lifting/,118,0.13,1535.00,0.75,40600000,"[13,10,19,54,19,36,19,100,36,24,29,36]",2026-03-02,"Local pack, Video, Image, Related searches",transactional,Organic
backfill dirt,1,1,880,14,1.40,https://www.groundworks.com/glossary/problems-caused-by-backfill-soil/,116,0.13,162.00,0.8,2590000,"[8,29,4,3,5,8,10,4,4,7,3,3]",2026-02-20,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",commercial,Organic
waterproof companies,1,1,880,68,16.41,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,116,0.13,1903.00,0.28,103000000,"[31,31,25,31,46,52,37,37,52,68,100,11]",2026-01-10,"Local pack, Video, Ads bottom, People also ask, Related searches",commercial,Local pack
basement leak repair company near me,1,1,880,34,43.81,https://www.groundworks.com/locations/groundworks-colorado-springs/groundworks-colorado-springs-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-cos,116,0.13,5081.00,0.88,6760000,"[0,3,4,7,7,8,5,27,52,100,52,24]",2026-02-07,"Local pack, Sitelinks, Ads bottom, People also ask, Related searches, AI overview",transactional,Local pack
