Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
connecticut foundation repair,1,1,90,26,14.58,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,7,0.27,102.00,0.42,5960000,"[17,29,23,11,11,17,11,82,100,100,82,100]",2026-02-28,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
concrete crack repair company near me,1,1,50,18,6.62,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,6,0.23,39.00,0.89,13700000,"[11,23,11,29,17,17,23,100,64,23,11,17]",2026-02-08,"Local pack, Sitelinks, Video, People also ask, Related searches, AI overview",transactional,Local pack
concrete repair boston,1,0,50,0,11.36,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,6,0.23,68.00,0.76,0,"[1,1,1,1,1,2,10,16,8,3,3,2]",2026-03-08,"Local pack, Video, Image, Related searches",commercial,Local pack
a1 crack repair,2,2,90,31,8.21,https://www.a1foundationcrackrepair.com/,5,0.19,41.00,0.5,9680000,"[33,33,42,42,42,33,33,42,52,52,52,23]",2026-02-01,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
foundation crack repair brookhaven,1,1,70,2,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,5,0.19,0.00,0,49000,"[33,100,100,100,55,77,100]",2026-02-15,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Local pack
a 1 foundation,10,10,170,49,9.54,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,5,0.19,47.00,0.38,123,"[53,53,53,65,80,80,53,53,53,53,53,65]",2026-03-04,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,Knowledge panel
a1 foundation repair,10,10,170,28,11.52,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,5,0.19,57.00,0.49,23600000,"[53,53,80,53,65,65,65,53,53,80,53,42]",2026-03-08,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches",informational,Knowledge panel
foundation repair massachusetts,2,2,210,26,11.73,https://www.a1foundationcrackrepair.com/,5,0.19,58.00,0.48,50000000,"[28,28,28,35,28,35,28,100,100,100,82,82]",2026-01-31,"Local pack, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
basement crack repair near me,21,21,3600,7,14.57,https://www.a1foundationcrackrepair.com/massachusetts,5,0.19,72.00,0.68,218,"[2,2,3,10,15,19,19,100,54,36,29,54]",2026-03-05,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
lally column repair,1,1,170,0,9.03,https://www.a1foundationcrackrepair.com/lally-column-replacement,5,0.19,45.00,0.52,52600,"[5,10,23,43,28,5,23,100,100,66,66,66]",2026-02-26,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
a1 foundation,10,10,170,46,9.54,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,5,0.19,47.00,0.38,807000000,"[43,43,43,53,53,66,43,53,43,35,35,35]",2026-02-03,"Knowledge panel, Video, Related searches",informational,Knowledge panel
concrete repair ma,1,1,40,2,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,5,0.19,0.00,0,55600000,"[100,80,20]",2026-01-09,"Local pack, Video, People also ask, Related searches",commercial,Local pack
a1 basement,1,1,40,5,11.06,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,5,0.19,55.00,0.39,71500000,"[14,28,21,21,21,78,14,78,14,14,14,14]",2026-02-08,"Local pack, Sitelinks, Video, Related searches",commercial,Local pack
lally column installation,1,1,140,0,7.77,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/lally-columns-what-you-should-and-should-not-use-boston-ma,4,0.15,31.00,0.25,611000,"[100,82,64,100,64,52,52,82,100,82,82,52]",2026-02-28,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
foundation crack repair,37,37,14800,11,12.14,https://www.a1foundationcrackrepair.com/,4,0.15,48.00,0.54,0,"[19,29,54,29,54,54,66,100,66,54,66,100]",2026-03-07,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
wall seam,1,1,110,18,0.00,https://www.a1foundationcrackrepair.com/floor-wall-seam,4,0.15,0.00,0.03,34700000,"[17,23,17,17,23,17,17,17,28,17,28,100]",2026-01-21,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
+foundation +repair +company,1,1,50,26,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,4,0.15,0.00,0,346,"[14,7,21,14,21,14,14,7,78,100,64,50]",2026-01-06,"Local pack, Video, People also ask, Related searches",commercial,Local pack
tie rod leaking,1,1,140,7,0.00,https://www.a1foundationcrackrepair.com/tie-rods,4,0.15,0.00,0,6030000,"[53,42,65,34,53,100,26,42,65,53,42,53]",2026-01-23,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,AI overview
flex seal flex seal,5,5,1900,39,0.29,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,4,0.15,1.00,1,36100000,"[0,0,1,0,0,0,1,0,10,100,2,1]",2026-03-05,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Short videos, Things to know, Discussions and forums, AI overview","informational, transactional",Things to know
lally column installation,1,1,140,0,7.77,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/installing-lally-columns-what-not-to-do,3,0.11,23.00,0.25,611000,"[100,82,64,100,64,52,52,82,100,82,82,52]",2026-02-28,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
footing for lally column,1,1,50,6,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/installing-lally-columns-what-not-to-do,3,0.11,0.00,0.18,15300,"[45,81,63,100,100,18,18,100,18,18,18,18]",2026-02-18,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
loly column,1,1,90,10,0.55,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/lally-columns-what-you-should-and-should-not-use-boston-ma,3,0.11,1.00,0.75,620000,"[100,9,9,0,0,0,4,19,0,0,0,0]",2026-02-21,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Short videos, Things to know, AI overview",informational,Things to know
lally column replacement near me,5,5,140,5,8.08,https://www.a1foundationcrackrepair.com/lally-column-replacement,3,0.11,24.00,0.83,133000,"[6,34,21,34,34,34,12,43,65,34,100,65]",2026-03-01,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",transactional,Organic
foundation repair ma,2,2,140,41,0.00,https://www.a1foundationcrackrepair.com/,3,0.11,0.00,0.15,81700000,"[26,26,34,19,26,34,26,26,100,100,80,65]",2026-01-06,"Local pack, Image, People also ask, Related searches",commercial,Organic
what is a cold joint in concrete,1,1,210,9,0.00,https://www.a1foundationcrackrepair.com/cold-joint-repair,3,0.11,0.00,0,42400000,"[10,13,10,13,16,16,16,20,20,20,30,24]",2026-01-05,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
a 1 foundation repair,2,2,140,9,10.51,https://www.a1foundationcrackrepair.com/,3,0.11,31.00,0.46,307000000,"[6,6,0,1,15,100,8,100,54,0,1,0]",2026-02-28,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Organic
crack in foundation,11,11,5400,11,6.62,https://www.a1foundationcrackrepair.com/,3,0.11,19.00,0.41,90700000,"[8,8,5,54,44,54,54,54,100,66,66,66]",2026-03-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Things to know, AI overview",informational,Organic
foundation crack repair companies,5,5,260,31,17.58,https://www.a1foundationcrackrepair.com/residential-services,2,0.07,35.00,0.35,4650000,"[6,9,12,15,19,23,36,29,81,100,44,23]",2026-01-12,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
foundation crack repair massachusetts,2,2,50,23,0.00,https://www.a1foundationcrackrepair.com/,2,0.07,0.00,1,3140000,"[22,22,22,22,22,22,33,100,77,77,100,77]",2026-02-05,"Local pack, People also ask, Related searches",commercial,Organic
foundation repairs connecticut,8,8,140,23,14.46,https://www.a1foundationcrackrepair.com/connecticut,2,0.07,28.00,0.52,73800000,"[2,2,2,2,4,100,36,36,2,5,1,4]",2026-03-01,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
a1 foundation crack repair,10,10,90,37,7.97,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,2,0.07,15.00,0.26,1230000,"[2,3,4,4,4,3,3,6,10,5,5,13]",2026-01-16,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches",navigational,Knowledge panel
lolli columns,1,1,140,18,0.55,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/lally-columns-what-you-should-and-should-not-use-boston-ma,2,0.07,1.00,0.75,409000,"[0,0,30,5,5,30,20,20,3,10,8,10]",2026-01-20,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",AI overview
a1 basement solutions,7,7,260,27,10.56,https://www.a1foundationcrackrepair.com/,2,0.07,21.00,0.3,3130000,"[35,29,29,35,43,66,66,66,66,81,43,43]",2026-01-13,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
basement crack repair companies near me,1,1,30,40,35.12,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,2,0.07,70.00,0.88,5340000,"[2,3,5,3,3,3,3,4,4,2,2,2]",2026-01-30,"Local pack, Sitelinks, People also ask, Related searches",transactional,Local pack
lally column replacement,1,1,260,9,7.61,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/do-i-need-to-worry-about-replacing-a-rusted-lally-column,2,0.07,15.00,0.62,165000,"[18,29,22,29,29,22,43,100,81,66,66,66]",2026-02-28,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
lally column replacement,1,1,260,9,7.61,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/installing-lally-columns-what-not-to-do,2,0.07,15.00,0.62,165000,"[18,29,22,29,29,22,43,100,81,66,66,66]",2026-02-28,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
lally column footing,1,1,70,3,0.00,https://www.a1foundationcrackrepair.com/lp-lally-column-replacement,2,0.07,0.00,0.18,16100,"[35,50,50,78,78,21,21,78,28,21,28,21]",2026-02-27,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
foundation crack repair services,12,12,1600,24,15.97,https://www.a1foundationcrackrepair.com/residential-services,2,0.07,31.00,0.25,8270000,"[0,20,27,36,36,36,36,52,100,80,27,80]",2026-02-08,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
floor crack repair chelmsford nh,3,3,40,3,0.00,https://www.a1foundationcrackrepair.com/,2,0.07,0.00,0,123000,"[57,57,28,71,100]",2026-02-28,"Local pack, Video, Related searches, AI overview",commercial,Organic
lolli column,2,2,50,19,0.63,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/lally-columns-what-you-should-and-should-not-use-boston-ma,1,0.03,0.00,0.73,583000,"[0,0,0,0,0,0,0,0,0,5,2,2]",2026-01-11,"Sitelinks, Video, Image, People also ask, Popular products, Related searches, See results about, Things to know, AI overview","commercial, informational",Things to know
hatchway doors,2,2,90,11,1.23,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,1,0.03,1.00,0.97,203000,"[19,19,15,34,34,42,34,42,34,34,34,26]",2026-02-23,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,People also ask
step repair,1,1,170,18,8.41,https://www.a1foundationcrackrepair.com/residential-steps-repair,1,0.03,8.00,0.58,0,"[53,65,81,65,65,65,65,65,53,53,43,34]",2026-03-08,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview",informational,Image pack
bulkheads concrete,6,6,90,6,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-wanted-to-know-about-bulkheads-but-were-too-afraid-to-ask,1,0.03,0.00,0.01,190,"[28,21,78,64,28,78,78,100,64,50,50,64]",2026-03-07,"Video, Image, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
foundation crack repair melville,3,3,70,8,0.00,https://www.a1foundationcrackrepair.com/connecticut,1,0.03,0.00,0,108000,"[0,100,77,77,77,55,77]",2026-02-13,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Organic
professional foundation crack repair services,9,9,390,18,0.00,https://www.a1foundationcrackrepair.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,1,0.03,0.00,0,6860000,"[44,66,66,66,81,66,81,100,66,15]",2026-01-07,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Local pack
