Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
seeping water,1,1,210,13,26.81,https://crackx.com/water-seepage-through-basement/,17,0.87,455.00,0.09,23400000,"[13,13,8,10,24,10,16,20,16,20,20,16]",2026-02-28,"Image pack, Sitelinks, Video, People also ask, Related searches, Short videos, AI overview",informational,Image pack
basement bulkhead doors,4,4,1300,26,1.14,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,15,0.76,17.00,0.72,947000,"[20,30,30,41,41,54,79,100,66,66,54,54]",2026-02-06,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
crack x natick,4,4,210,10,7.54,https://crackx.com/foundation-crack-repair-natick/,13,0.66,98.00,0.49,59000,"[16,10,20,8,10,45,16,13,8,10,36,3]",2026-03-01,"Knowledge panel, Sitelinks, Video, Related searches","informational, transactional",Organic
structural cracks,2,2,170,1,5.65,https://crackx.com/identifying-structural-cracks/,13,0.66,73.00,0.17,145,"[80,53,53,53,42,65,100,80,65,53,53,65]",2026-03-07,"Image pack, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
basement waterproofing so natick,1,1,50,1,0.00,https://crackx.com/natick-massachusetts/?utm_source=gmb&utm_medium=organic,12,0.61,0.00,0,108000,"[0,11,100,100,77,77,55,55]",2026-02-24,"Local pack, Video",commercial,Local pack
crackedx,1,1,50,32,0.00,https://crackx.com/,12,0.61,0.00,0,8920,"[0,100,0,66,0,0,0,0,0,66,52,0]",2026-01-08,"Sitelinks, Video, Image, Related searches",commercial,Organic
bulkhead door,1,1,2400,25,1.14,https://crackx.com/merrimack-valley-massachusetts/bilco-basement-bulkhead-doors-installation/,12,0.61,13.00,0.84,9100000,"[29,43,36,54,81,65,81,81,43,65,65,65]",2026-03-04,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",AI overview
bugs in basement,1,1,320,14,1.33,https://crackx.com/bugs-in-basement/,11,0.56,14.00,0.13,10900000,"[13,10,8,16,13,10,55,36,16,45,55,16]",2026-02-26,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,AI overview
crack x massachusetts,5,5,320,1,7.45,https://crackx.com/merrimack-valley-massachusetts/,11,0.56,81.00,0.52,4820000,"[4,43,43,100,81,81,81,43,81,66,81,81]",2026-01-13,"Video, Ads bottom, Related searches","informational, transactional",Organic
bulkhead repair cost,1,1,480,4,5.79,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,10,0.51,57.00,0.19,2710000,"[48,39,17,21,11,21,21,88,88,59,72,100]",2026-02-01,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
hairline cracks in foundation,1,1,170,5,4.10,https://crackx.com/a-step-by-step-guide-to-repairing-hairline-cracks-in-foundation-wall/,10,0.51,41.00,0.29,3270000,"[35,29,18,43,29,35,22,66,35,35,43,43]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview","commercial, informational",AI overview
wall crack,1,1,590,35,6.71,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,10,0.51,67.00,0.1,291000000,"[16,24,30,16,16,30,30,5,20,20,24,30]",2026-01-07,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
how to bild sloped basement doors,1,1,320,22,0.00,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,10,0.51,0.00,0,11700000,"[100,0,0,0,0,0,0]",2026-01-29,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
concrete crack repair contractors,1,1,110,10,9.11,https://crackx.com/natick-massachusetts/?utm_source=gmb&utm_medium=organic,9,0.46,81.00,0.16,5130000,"[9,9,19,52,66,100,66,80,66,52,66,33]",2026-02-05,"Local pack, Video, People also ask, Related searches, Discussions and forums",commercial,Local pack
basement waterproofing natick,1,1,70,3,0.00,https://crackx.com/natick-massachusetts/?utm_source=gmb&utm_medium=organic,9,0.46,0.00,0,43200,"[0,14,0,21,35,100,64,78,50,50,64]",2026-02-22,"Local pack, Video, Related searches",commercial,Local pack
basement waterproofing north natick,1,1,70,5,0.00,https://crackx.com/natick-massachusetts/?utm_source=gmb&utm_medium=organic,9,0.46,0.00,0,98200,"[100,100,71,100,100]",2026-02-08,"Local pack, Video, People also ask, Related searches",commercial,Local pack
crack-x,1,1,40,18,0.00,https://crackx.com/natick-massachusetts/?utm_source=gmb&utm_medium=organic,9,0.46,0.00,0,323000000,"[17,17,23,29,23,41,29,23,29,17,23,11]",2026-03-02,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Local pack
bulkhead basement door,1,1,480,23,1.14,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,8,0.41,9.00,0.72,1140000,"[9,14,32,39,72,39,59,100,39,48,48,32]",2026-02-01,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, informational",People also ask
vertical cracks in walls,1,1,480,6,4.01,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,8,0.41,32.00,0.31,19100000,"[48,48,72,59,48,48,39,26,48,48,39,59]",2026-01-11,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,People also ask
vertical crack in wall,1,1,260,7,4.64,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,8,0.41,37.00,0.22,55600000,"[10,12,15,10,15,7,12,100,100,81,10,10]",2026-01-05,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,AI overview
water leaking through bulkhead,1,1,210,9,0.00,https://crackx.com/repair-a-leaking-bulkhead/,8,0.41,0.00,1,1430000,"[6,43,43,43,43,53,53,100,100,81,81,81]",2026-02-27,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
crack x natick,6,6,210,10,7.54,https://crackx.com/natick-massachusetts-area/,7,0.35,52.00,0.49,59000,"[16,10,20,8,10,45,16,13,8,10,36,3]",2026-03-01,"Knowledge panel, Sitelinks, Video, Related searches","informational, transactional",Organic
dangerous wall cracks,3,2,320,12,5.56,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,7,0.35,38.00,0.04,0,"[22,22,22,18,66,66,29,100,66,100,100,100]",2026-03-08,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
bulkhead leaking,1,1,210,1,8.38,https://crackx.com/a-step-by-step-guide-to-bulkhead-waterproofing/,7,0.35,58.00,0.37,2190000,"[28,35,28,43,43,53,43,100,100,82,82,82]",2026-02-19,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
crack x massachusetts,7,7,320,1,7.45,https://crackx.com/foundation-wall-crack-repair/,7,0.35,52.00,0.52,4820000,"[4,43,43,100,81,81,81,43,81,66,81,81]",2026-01-13,"Video, Ads bottom, Related searches","informational, transactional",Organic
crack x massachusetts,9,9,320,1,7.45,https://crackx.com/natick-massachusetts-area/,7,0.35,52.00,0.52,4820000,"[4,43,43,100,81,81,81,43,81,66,81,81]",2026-01-13,"Video, Ads bottom, Related searches","informational, transactional",Organic
water leaking through bulkhead,1,1,210,9,0.00,https://crackx.com/repair-a-leaking-bulkhead/,7,0.35,0.00,1,1430000,"[6,43,43,43,43,53,53,100,100,81,81,81]",2026-02-27,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,AI overview
bulkhead repair near me,2,2,320,11,7.82,https://crackx.com/bulkhead-waterproofing/,7,0.35,54.00,0.78,3630000,"[28,28,28,54,54,35,28,23,100,100,81,81]",2026-01-11,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
structural foundation cracks,2,2,210,13,4.97,https://crackx.com/identifying-structural-cracks/,6,0.3,29.00,0.52,18600000,"[6,9,9,15,100,9,6,100,81,6,5,5]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
crackx,1,1,260,37,7.54,https://crackx.com/natick-massachusetts/?utm_source=gmb&utm_medium=organic,6,0.3,45.00,0.49,129000,"[54,15,15,23,29,23,44,23,23,36,23,19]",2026-01-23,"Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Local pack
crack x natick,7,7,210,10,7.54,https://crackx.com/about-us/,6,0.3,45.00,0.49,59000,"[16,10,20,8,10,45,16,13,8,10,36,3]",2026-03-01,"Knowledge panel, Sitelinks, Video, Related searches","informational, transactional",Organic
foundation repair natick,1,1,50,2,0.00,https://crackx.com/natick-massachusetts/?utm_source=gmb&utm_medium=organic,6,0.3,0.00,0,232000,"[0,9,36,81,45,100]",2026-02-21,"Local pack, Video, Image, Related searches",commercial,Local pack
cracks in wall,1,1,390,34,8.81,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,6,0.3,52.00,0.09,99500000,"[16,36,24,20,20,10,13,8,8,10,13,8]",2026-01-08,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
non structural foundation cracks,1,1,170,9,7.18,https://crackx.com/identifying-structural-cracks/,6,0.3,43.00,0.49,12000000,"[6,6,6,34,34,34,100,100,81,81,65,43]",2026-02-08,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
cracks in the wall,1,1,390,28,6.71,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,6,0.3,40.00,0.1,103000000,"[25,37,25,4,16,13,8,13,16,25,31,25]",2026-01-08,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
crackedx,2,2,50,32,0.00,https://crackx.com/natick-massachusetts/,6,0.3,0.00,0,8920,"[0,100,0,66,0,0,0,0,0,66,52,0]",2026-01-08,"Sitelinks, Video, Image, Related searches",commercial,Organic
crack wall,1,1,390,34,6.71,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,6,0.3,40.00,0.1,290000000,"[36,44,81,67,44,67,19,44,29,81,15,7]",2026-01-07,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
bulkhead installers,4,4,320,30,3.73,https://crackx.com/bulkhead-door-installation-natick/,6,0.3,22.00,0.88,8200000,"[81,43,22,35,43,22,22,100,100,81,100,100]",2026-03-04,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
foundation maintenance tips,1,1,90,1,0.00,https://crackx.com/how-to-keep-your-foundation-strong-maintenance-tips/,5,0.25,0.00,0,285000000,"[9,9,9,19,33,42,23,80,100,80,66,66]",2026-02-25,"Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
bilko doors,1,1,320,14,1.08,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,5,0.25,5.00,1,548000,"[30,0,13,8,16,16,81,20,6,36,4,4]",2026-01-26,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, Things to know","informational, transactional",People also ask
crack x foundation repair,1,1,210,41,14.90,https://crackx.com/natick-massachusetts/?utm_source=gmb&utm_medium=organic,5,0.25,74.00,0.91,19300000,"[7,12,12,12,7,44,2,100,81,5,5,2]",2026-02-01,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Local pack
bulkhead doors for basement,2,2,170,15,1.14,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,5,0.25,5.00,0.72,424000,"[7,28,43,66,82,53,66,12,53,43,43,43]",2026-02-04,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
bulkhead leaking,1,1,210,1,8.38,https://crackx.com/repair-a-leaking-bulkhead/,5,0.25,41.00,0.37,2190000,"[28,35,28,43,43,53,43,100,100,82,82,82]",2026-02-19,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Image pack
bulkhead leaking,1,1,210,1,8.38,https://crackx.com/waterproofing-your-bulkhead/,5,0.25,41.00,0.37,2190000,"[28,35,28,43,43,53,43,100,100,82,82,82]",2026-02-19,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Image pack
bulkhead sealing,1,1,170,3,1.00,https://crackx.com/repair-a-leaking-bulkhead/,5,0.25,5.00,0.59,1350000,"[3,28,34,43,34,43,43,81,100,100,81,81]",2026-03-03,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview","commercial, informational",AI overview
bulkhead sealing,1,1,170,3,1.00,https://crackx.com/repair-a-leaking-bulkhead/,5,0.25,5.00,0.59,1350000,"[3,28,34,43,34,43,43,81,100,100,81,81]",2026-03-03,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview","commercial, informational",People also ask
foundation crack sealer,1,1,320,7,4.25,https://crackx.com/faqs-about-foundation-cracks-every-homeowner-should-read/,5,0.25,21.00,0.99,1710000,"[17,14,17,26,88,32,32,32,32,26,26,21]",2026-02-23,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",People also ask
storm cellar door,1,1,320,32,1.12,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,5,0.25,5.00,1,5820000,"[36,29,36,66,66,66,44,36,44,44,36,29]",2026-01-30,"Image pack, Video, Image, People also ask, Popular products, Related searches, AI overview",informational,People also ask
crack-x,1,1,40,18,0.00,https://www.crackx.com/?utm_source=gmbmerri&utm_medium=organic,5,0.25,0.00,0,323000000,"[17,17,23,29,23,41,29,23,29,17,23,11]",2026-03-02,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Local pack
basement waterproofing south natick,1,1,70,,0.00,https://crackx.com/natick-massachusetts/?utm_source=gmb&utm_medium=organic,5,0.25,0.00,0,98900,"[0,100,64,29,41,29]",2026-01-31,"Local pack, Image, Related searches",commercial,Local pack
foundation repair plano,1,1,320,13,57.17,https://crackx.com/foundation-repair/,5,0.25,285.00,0.9,3750000,"[54,54,44,35,81,35,35,35,81,81,81,81]",2026-01-11,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
bulkhead door installation near me,4,4,170,29,4.37,https://crackx.com/bulkhead-door-installation-of-maine/,5,0.25,21.00,0.6,9130000,"[22,14,18,22,18,22,22,66,66,54,54,54]",2026-03-05,"Local pack, Video, Related searches",transactional,Organic
cracks in concrete basement floor,1,1,170,9,3.71,https://crackx.com/basement-floor-cracks/,5,0.25,18.00,0.09,8890000,"[23,28,28,23,11,28,44,8,15,8,100,44]",2026-02-03,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
bulkhead waterproofing,2,2,320,4,6.78,https://crackx.com/repair-a-leaking-bulkhead/,4,0.2,27.00,0.82,256000,"[3,18,23,28,35,44,54,54,81,100,81,81]",2026-01-13,"Local pack, Image pack, Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview","informational, transactional",Organic
crackx,1,1,260,37,7.54,https://www.crackx.com/?utm_source=gmbmerri&utm_medium=organic,4,0.2,30.00,0.49,129000,"[54,15,15,23,29,23,44,23,23,36,23,19]",2026-01-23,"Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Local pack
signs of foundation issues in house,1,1,260,23,4.46,https://crackx.com/settling-vs-foundation-failure-understanding-the-difference/,4,0.2,17.00,0.44,268000000,"[2,3,8,1,1,2,3,55,100,16,13,16]",2026-01-06,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
water foundation damage,1,1,140,13,12.56,https://crackx.com/building-foundation-water-damage/,4,0.2,50.00,0.09,123,"[52,42,52,80,80,100,66,66,33,66,52,42]",2026-03-06,"Sitelinks, Video, Video Carousel, Related searches, AI overview","commercial, informational",AI overview
commercial foundations,2,0,70,10,20.12,https://crackx.com/foundations-for-commercial-buildings/,4,0.2,80.00,0.09,0,"[14,14,21,14,35,50,64,64,50,50,100,50]",2026-03-08,"Local pack, Video, Video Carousel, Related searches, AI overview",informational,Organic
clamshell doors,1,1,140,23,0.00,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,4,0.2,0.00,0.06,1790000,"[52,64,64,64,100,64,64,82,64,100,64,64]",2026-02-04,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, informational",People also ask
crack x,6,6,480,18,7.54,https://crackx.com/about-us/,4,0.2,30.00,0.49,325000000,"[24,20,30,36,30,45,30,30,30,24,45,24]",2026-01-28,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
crack x massachusetts,10,10,320,1,7.45,https://crackx.com/about-us/,4,0.2,29.00,0.52,4820000,"[4,43,43,100,81,81,81,43,81,66,81,81]",2026-01-13,"Video, Ads bottom, Related searches","informational, transactional",Organic
water leaking through bulkhead,1,1,210,9,0.00,https://crackx.com/a-step-by-step-guide-to-bulkhead-waterproofing/,4,0.2,0.00,1,1430000,"[6,43,43,43,43,53,53,100,100,81,81,81]",2026-02-27,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
bulkhead door replacement cost,1,1,70,11,1.88,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,4,0.2,7.00,0.14,1490000,"[3,4,2,11,2,11,11,14,11,7,7,7]",2026-02-25,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
bulkhead waterproofing,1,1,320,4,6.78,https://crackx.com/a-step-by-step-guide-to-bulkhead-waterproofing/,3,0.15,20.00,0.82,256000,"[3,18,23,28,35,44,54,54,81,100,81,81]",2026-01-13,"Local pack, Image pack, Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview","informational, transactional",People also ask
crackx,1,1,260,37,7.54,https://crackx.com/new-hampshire/?utm_source=gmbnh&utm_medium=organic,3,0.15,22.00,0.49,129000,"[54,15,15,23,29,23,44,23,23,36,23,19]",2026-01-23,"Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Local pack
foundation repair manchester,1,1,40,3,0.00,https://crackx.com/new-hampshire/?utm_source=gmbnh&utm_medium=organic,3,0.15,0.00,0.33,5500000,"[18,18,18,18,100,27,18,63,45,36,27,18]",2026-01-24,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
belco door,1,1,110,9,1.08,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,3,0.15,3.00,1,187000,"[16,0,0,0,0,0,0,0,10,36,2,24]",2026-02-02,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",transactional,People also ask
crack x foundation repair,1,1,210,41,14.90,https://www.crackx.com/?utm_source=gmbmerri&utm_medium=organic,3,0.15,44.00,0.91,19300000,"[7,12,12,12,7,44,2,100,81,5,5,2]",2026-02-01,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Local pack
bulkhead plug,1,1,90,11,0.55,https://crackx.com/repair-a-leaking-bulkhead/,3,0.15,1.00,0.9,3870000,"[26,34,26,34,26,26,26,42,42,34,42,26]",2026-02-18,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",People also ask
bulkhead leaking,2,2,210,1,8.38,https://crackx.com/repair-a-leaking-bulkhead/,3,0.15,25.00,0.37,2190000,"[28,35,28,43,43,53,43,100,100,82,82,82]",2026-02-19,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
fix basement floor cracks,1,1,590,25,4.20,https://crackx.com/foundation-floor-crack-repair/,3,0.15,12.00,0.17,8750000,"[2,2,2,4,79,2,79,100,5,10,16,16]",2026-02-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,AI overview
crack x reviews,2,2,40,18,11.07,https://crackx.com/testimonials/,3,0.15,33.00,0.35,282000000,"[35,14,14,28,28,50,35,21,35,28,35,35]",2026-02-01,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Organic
cracks in wood beams,1,1,110,6,0.00,https://crackx.com/identifying-structural-cracks/,3,0.15,0.00,0.01,5480000,"[14,78,78,78,78,100,100,78,78,78,100,64]",2026-02-08,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
freeze and thaw cycle,1,1,170,39,0.00,https://crackx.com/understanding-how-freeze-and-thaw-cycles-affect-foundations/,3,0.15,0.00,0,13700000,"[53,53,65,53,81,53,34,28,34,43,100,81]",2026-01-21,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
crackxxx,3,3,40,22,0.00,https://crackx.com/,3,0.15,0.00,0,40900,"[0,4,14,0,0,0,0,80,42,52,42,4]",2026-03-03,,commercial,Organic
structural wall cracks,13,13,2400,10,5.48,https://crackx.com/identifying-structural-cracks/,3,0.15,16.00,0.34,20000000,"[0,0,0,0,0,19,0,24,81,100,100,100]",2026-03-02,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
crack-x,1,1,40,18,0.00,https://crackx.com/new-hampshire/?utm_source=gmbnh&utm_medium=organic,3,0.15,0.00,0,323000000,"[17,17,23,29,23,41,29,23,29,17,23,11]",2026-03-02,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Local pack
fixing cracks in basement floor,10,10,2400,17,4.20,https://crackx.com/best-methods-for-repairing-cracked-basement-floors-in-new-england-homes/,3,0.15,12.00,0.17,145,"[5,5,5,28,28,5,28,28,81,100,19,81]",2026-03-05,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
foundation replacement,7,7,2400,11,8.63,https://crackx.com/a-comprehensive-guide-to-foundation-replacement/,3,0.15,25.00,0.61,949000000,"[3,3,3,4,3,28,28,36,100,100,19,100]",2026-03-02,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
crack x,7,7,480,18,7.54,https://crackx.com/new-hampshire/,3,0.15,22.00,0.49,325000000,"[24,20,30,36,30,45,30,30,30,24,45,24]",2026-01-28,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
